,knum,z_dim,Dsize,lr,train_loss,minimum_val_loss,number_of_model_parameters
165,"[128, 256]",16,[64],0.001,0.005003793339710683,0.0047943065874278545,2708369
166,"[128, 256]",32,[64],0.0001,0.004719033720903099,0.004267004318535328,2710433
167,"[128, 256]",32,[64],0.001,0.004634547862224281,0.004252896178513765,2710433
168,"[128, 256]",8,"[64, 32]",0.0001,0.0063759913900867105,0.005885660648345947,2710985
169,"[128, 256]",8,"[64, 32]",0.001,0.00640883989399299,0.006032832432538271,2710985
170,"[128, 256]",16,"[64, 32]",0.0001,0.0063368199043907225,0.005721771623939276,2711505
171,"[128, 256]",16,"[64, 32]",0.001,0.006291168101597577,0.005887174047529697,2711505
172,"[128, 256]",32,"[64, 32]",0.0001,0.006220462848432362,0.005646198056638241,2712545
173,"[128, 256]",32,"[64, 32]",0.001,0.010912043740972877,0.011328594759106636,2712545
174,"[128, 256]",8,"[32, 16]",0.0001,0.007079908449668437,0.0063617718406021595,1658985
175,"[128, 256]",8,"[32, 16]",0.001,0.010901969275437295,0.011328636668622494,1658985
176,"[128, 256]",16,"[32, 16]",0.0001,0.007097754918504506,0.0063460348173975945,1659249
177,"[128, 256]",16,"[32, 16]",0.001,0.010930923745036125,0.011328560300171375,1659249
178,"[128, 256]",32,"[32, 16]",0.0001,0.007127279008273035,0.006350563373416662,1659777
179,"[128, 256]",32,"[32, 16]",0.001,0.01089063030667603,0.011328094638884068,1659777
180,"[256, 512]",8,[],0.0001,0.005409087869338691,0.005551119334995747,2921993
181,"[256, 512]",8,[],0.001,0.005396149004809558,0.005549836438149214,2921993
182,"[256, 512]",16,[],0.0001,0.004343611071817577,0.004476434551179409,3446289
183,"[256, 512]",16,[],0.001,0.004341987834777683,0.004476582631468773,3446289
184,"[256, 512]",32,[],0.0001,0.0033615895081311464,0.003532266244292259,4494881
185,"[256, 512]",32,[],0.001,0.003359979746164754,0.0035327321384102106,4494881
186,"[256, 512]",8,[16],0.0001,0.006523134070448577,0.006101564504206181,3446569
